iter	Passed	Remaining
0	2	435
1	4	434
2	6	396
3	8	382
4	11	384
5	13	373
6	15	364
7	17	365
8	19	357
9	21	349
10	23	346
11	25	345
12	27	343
13	29	339
14	31	337
15	33	334
16	35	331
17	37	330
18	39	328
19	41	324
20	43	322
21	45	321
22	48	319
23	50	319
24	52	317
25	54	313
26	56	311
27	58	307
28	59	303
29	61	300
30	64	301
31	66	298
32	67	293
33	69	291
34	71	287
35	72	283
36	74	280
37	76	279
38	78	275
39	79	271
40	81	269
41	83	267
42	85	264
43	86	260
44	88	258
45	90	256
46	92	253
47	94	251
48	96	249
49	97	246
50	99	244
51	101	243
52	104	241
53	105	239
54	108	237
55	110	236
56	112	234
57	113	231
58	115	229
59	117	226
60	118	224
61	120	222
62	123	220
63	124	218
64	126	215
65	127	213
66	129	211
67	131	208
68	133	206
69	135	204
70	137	202
71	138	200
72	140	198
73	142	196
74	144	194
75	145	191
76	147	189
77	149	187
78	151	185
79	152	183
80	154	181
81	156	179
82	158	177
83	160	175
84	162	173
85	163	171
86	165	168
87	167	167
88	169	165
89	170	163
90	172	160
91	174	159
92	176	157
93	177	155
94	179	153
95	181	151
96	183	149
97	185	147
98	186	145
99	188	143
100	190	141
101	192	139
102	195	138
103	197	136
104	200	135
105	202	133
106	205	132
107	208	131
108	209	128
109	211	126
110	213	125
111	215	123
112	216	120
113	218	119
114	221	117
115	222	115
116	224	112
117	225	111
118	227	109
119	229	107
120	230	104
121	232	103
122	234	101
123	236	99
124	238	97
125	240	95
126	241	93
127	243	91
128	245	89
129	247	87
130	249	85
131	251	83
132	266	86
133	267	83
134	269	81
135	271	79
136	273	77
137	275	75
138	277	73
139	279	71
140	281	69
141	283	67
142	285	65
143	287	63
144	289	61
145	290	59
146	292	57
147	294	55
148	296	53
149	298	51
150	300	49
151	302	47
152	304	45
153	306	43
154	308	41
155	311	39
156	313	37
157	315	35
158	317	33
159	320	32
160	321	29
161	323	27
162	326	26
163	328	24
164	330	22
165	332	20
166	334	18
167	336	16
168	338	14
169	340	12
170	341	9
171	343	7
172	345	5
173	347	3
174	349	1
175	351	0
